,HB,FX,PB,PH,SR,VT,AA,Total Weighted Medal Score
Malone,0.669,0.206,0.069,0.035,0.006,0.026,0.457,1.468
Young,<0.001,0.096,0.001,0.388,<0.001,0.329,0.02,0.834
Phillips,0.033,<0.001,0.585,0.013,<0.001,0.102,<0.001,0.733
Hong,<0.001,0.073,0.039,0.007,0.042,0.296,0.028,0.485
Whittenburg,<0.001,0.135,<0.001,<0.001,0.257,0.119,<0.001,0.511
Juda,0.012,0.264,<0.001,0.013,<0.001,0.072,0.064,0.425
Moldauer,<0.001,0.152,0.169,0.004,0.001,0.025,0.025,0.376
Nedoroscik,<0.001,<0.001,<0.001,0.698,<0.001,<0.001,<0.001,0.698
Walker,<0.001,0.024,0.375,<0.001,0.001,0.043,0.034,0.477
Sun,<0.001,<0.001,0.308,<0.001,<0.001,<0.001,<0.001,0.308
Richard,0.194,0.097,0.016,0.005,<0.001,0.021,0.032,0.367
Skirkey,<0.001,<0.001,<0.001,0.137,<0.001,<0.001,<0.001,0.137
Hale,<0.001,0.008,<0.001,<0.001,<0.001,0.189,<0.001,0.197